Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
M. de Fockert;23;Netherlands;Excelsior;€550K;Right;Portero;23;29;48;45;34;21;26
Wang Gang;29;China PR;Beijing Renhe FC;€400K;Right;Lateral;22;59;78;75;65;60;62
J. Ngoy;20;Belgium;Grasshopper Club Zürich;€1.1M;Right;Centrocampista;20;59;83;85;74;33;17
S. Madden;30;Republic of Ireland;St. Patrick's Athletic;€400K;Right;Lateral;17;58;83;75;67;66;55
Carlos Nieto;22;Spain;Real Zaragoza;€625K;Left;Defensa;17;65;67;67;65;59;65
Oh Jae Suk;28;Korea Republic;Gamba Osaka;€425K;Right;Lateral;22;59;57;60;68;49;61
P. Sontheimer;19;Germany;SpVgg Greuther Fürth;€900K;Right;Centrocampista;40;68;68;68;82;68;61
S. Karamoko;25;France;Paris FC;€550K;Right;Lateral;23;62;75;77;70;67;61
H. El Mokeddem;19;France;Toulouse Football Club;€850K;Left;Centrocampista;28;70;75;72;66;52;35
J. Espericueta;23;Mexico;Puebla FC;€700K;Left;Centrocampista;10;69;69;63;70;33;48
Ka Sol Heon;27;Korea Republic;Jeonnam Dragons;€450K;Right;Defensa;3;53;63;60;55;59;65
F. Götze;20;Germany;FC Augsburg;€1.1M;Right;Defensa;4;47;55;60;68;55;59
C. Ekuban;24;Italy;Trabzonspor;€750K;Right;Delantero;66;67;81;78;64;70;29
A. Tahar;28;Algeria;Boavista FC;€450K;Right;Centrocampista;21;69;65;66;66;72;69
C. Irwin;29;United States;Toronto FC;€375K;Right;Portero;1;24;48;44;54;34;24
M. Hairston;24;United States;Colorado Rapids;€575K;Right;Lateral;94;67;77;81;76;65;59
J. Jones;20;England;Coventry City;€975K;Left;Centrocampista;7;62;91;90;89;49;30
S. Barry;28;United States;Real Salt Lake;€425K;Right;Lateral;26;65;78;79;69;69;49
A. Koita;19;Belgium;KAA Gent;€950K;Right;Centrocampista;22;67;88;81;87;32;23
D. Worrall;28;England;Port Vale;€550K;Right;Centrocampista;7;62;75;76;78;49;38
J. Guillermo;28;Colombia;Deportivo Pasto;€450K;Right;Centrocampista;5;64;66;51;64;65;63
H. Guy;33;Ivory Coast;Al Qadisiyah;€325K;Right;Centrocampista;71;66;62;58;66;51;57
A. Brunst;22;Germany;1. FC Magdeburg;€625K;Right;Portero;30;23;40;42;26;27;13
J. Dacosta;22;France;Chamois Niortais Football Club;€675K;Right;Lateral;23;62;71;78;64;62;55
R. Moriwaki;32;Japan;Urawa Red Diamonds;€300K;Right;Defensa;46;55;70;53;45;67;67
J. Brown;29;England;Coventry City;€400K;Left;Lateral;12;62;76;79;78;69;58
M. Dyrestam;26;Sweden;Kalmar FF;€550K;Right;Lateral;4;64;68;69;57;59;66
Jeong Hyuk;32;Korea Republic;Jeonbuk Hyundai Motors;€400K;Right;Centrocampista;8;65;52;69;88;72;63
S. Grether;26;Switzerland;FC Luzern;€550K;Right;Lateral;17;67;70;62;60;63;60
J. Ness;27;Scotland;Plymouth Argyle;€600K;Left;Centrocampista;6;65;43;55;70;57;62
H. Dahmani;30;Germany;SC Fortuna Köln;€500K;Left;Centrocampista;30;60;76;79;78;62;38
T. Hopper;24;England;Southend United;€700K;Left;Delantero;9;63;62;68;69;62;17
F. Knudsen;21;Norway;FK Haugesund;€850K;Right;Defensa;4;50;51;62;43;72;64
J. Pohl;22;Denmark;FC Groningen;€925K;Right;Delantero;11;62;87;87;74;58;24
I. Paro;23;Burkina Faso;Chamois Niortais Football Club;€625K;Right;Defensa;28;51;64;68;39;63;60
C. Munder;18;Cuba;Universidad Católica;€850K;Right;Centrocampista;27;67;76;81;78;33;20
J. Cano;35;Colombia;La Equidad;€120K;Right;Lateral;20;60;65;70;66;62;66
E. Iyoha;20;Germany;FC Erzgebirge Aue;€975K;Right;Delantero;9;65;80;90;72;27;16
N. Adams;31;Wales;Bury;€475K;Right;Centrocampista;7;63;70;67;73;51;51
J. Godínez;21;Mexico;Guadalajara;€1.1M;Right;Delantero;23;62;67;71;54;62;26
C. Mandouki;26;France;Paris FC;€625K;Right;Centrocampista;14;65;59;63;60;67;65
M. Atwa;27;Egypt;Al Raed;€500K;Right;Defensa;66;48;61;58;69;69;57
J. Washausen;29;Germany;Hallescher FC;€425K;Right;Centrocampista;21;50;60;65;61;64;69
Shim Dong Woon;28;Korea Republic;Sangju Sangmu FC;€525K;Left;Centrocampista;7;68;86;82;85;34;55
P. Jaquez;22;Mexico;U.N.A.M.;€825K;Right;Defensa;19;55;54;65;50;55;63
Everton;24;Brazil;Clube Sport Marítimo;€700K;Right;Delantero;11;64;59;63;60;44;26
L. James;30;Wales;Forest Green Rovers;€500K;Right;Centrocampista;4;64;50;45;71;61;57
H. Matthys;22;Belgium;Excelsior;€650K;Left;Defensa;3;64;64;68;58;64;60
N. Ishihara;33;Japan;Vegalta Sendai;€350K;Right;Delantero;11;67;70;54;74;50;32
A. Sabiri;21;Germany;Huddersfield Town;€925K;Right;Centrocampista;29;74;71;72;77;53;28
Y. Thuram;29;France;Le Havre AC;€375K;Right;Portero;16;13;39;39;70;15;23
J. Willis;23;England;Coventry City;€650K;Right;Defensa;4;59;76;78;75;62;62
L. Ghiringhelli;26;Italy;Cittadella;€550K;Right;Lateral;24;60;76;76;61;62;59
F. Kath;23;Germany;SC Freiburg;€700K;Left;Centrocampista;38;69;76;77;69;51;42
D. Ball;22;England;Aberdeen;€650K;Right;Centrocampista;21;65;58;62;64;70;66
D. Volkmer;22;Germany; SSV Jahn Regensburg;€650K;Left;Defensa;5;52;48;54;33;71;53
B. Augustyn;30;Poland;Lechia Gda?sk;€400K;Right;Defensa;26;57;50;50;60;65;61
Ángel Galván;25;Spain;CD Tenerife;€525K;Right;Portero;13;16;42;47;65;28;26
F. Jamnig;27;Austria;LASK Linz;€575K;Right;Centrocampista;7;61;83;78;66;37;35
J. Reinhardt;30;Germany;FSV Zwickau;€400K;Right;Centrocampista;30;58;71;74;70;68;63
Liu Dianzuo;28;China PR;Guangzhou Evergrande Taobao FC;€375K;Right;Portero;32;20;41;49;37;20;23
F. Reese;20;Germany;SpVgg Greuther Fürth;€975K;Right;Delantero;17;62;75;80;69;55;38
K. Matsubara;21;Japan;Shimizu S-Pulse;€650K;Left;Lateral;25;68;78;68;66;69;61
R. Janssen;28;Netherlands;VVV-Venlo;€425K;Left;Lateral;4;62;61;53;59;72;66
J. Ayala;30;Argentina;Rosario Central;€350K;Left;Portero;31;21;33;36;37;17;15
M. Lundemo;24;Norway;Rosenborg BK;€750K;Right;Centrocampista;25;65;55;63;63;57;63
A. Ciranni;22;Belgium;Fortuna Sittard;€650K;Right;Lateral;17;67;71;73;58;52;62
B. Konaté;22;France;Chamois Niortais Football Club;€650K;Right;Centrocampista;26;64;63;65;68;62;70
A. Crognale;23;United States;Columbus Crew SC;€675K;Right;Defensa;21;55;56;61;52;71;60
Kwak Kwang Sun;32;Korea Republic;Suwon Samsung Bluewings;€300K;Left;Defensa;20;54;49;64;65;70;63
F. Boyer;27;Madagascar;Grenoble Foot 38;€500K;Left;Lateral;15;56;67;67;57;78;64
Noblejas;25;Spain;Real Sporting de Gijón;€600K;Left;Lateral;3;62;59;74;54;70;65
Q. Westberg;32;United States;AJ Auxerre;€300K;Right;Portero;16;18;34;54;51;16;16
S. Daham;22;Algeria;FC Sochaux-Montbéliard;€900K;Right;Centrocampista;19;65;73;74;79;65;56
M. Fellah;29;Norway;Sandefjord Fotball;€525K;Left;Centrocampista;22;67;81;76;89;56;52
T. Miyayoshi;25;Japan;Hokkaido Consadole Sapporo;€650K;Right;Delantero;31;62;76;77;76;30;15
J. Bellegarde;20;France;Racing Club de Lens;€925K;Right;Centrocampista;6;68;70;68;83;60;62
O. Ba;22;Senegal;GFC Ajaccio;€725K;Right;Defensa;19;37;62;62;53;64;63
M. Fetsch;29;Germany;Hallescher FC;€550K;Right;Delantero;10;61;48;66;42;64;40
H. Ekstein;27;South Africa;Kaizer Chiefs;€625K;Right;Centrocampista;27;66;76;75;71;39;27
C. Bayala;22;Burkina Faso;Racing Club de Lens;€750K;Right;Centrocampista;31;63;79;80;70;42;27
T. Cancellotti;26;Italy;Cittadella;€625K;Right;Centrocampista;29;65;69;70;62;61;61
Kweon Han Jin;30;Korea Republic;Jeju United FC;€400K;Right;Defensa;5;55;54;54;48;52;67
E. Upson;28;England;Bristol Rovers;€525K;Right;Centrocampista;6;66;59;63;72;72;49
A. Cook;27;England;Walsall;€575K;Right;Delantero;9;62;65;67;55;84;18
L. Miracoli;26;Italy;Brescia;€675K;Left;Delantero;26;61;45;54;46;57;19
L. Jäger;24;Austria;1. FC Nürnberg;€625K;Right;Centrocampista;20;59;62;54;64;69;67
Park Yi-Young;24;Korea Republic;FC St. Pauli;€600K;Left;Lateral;39;63;76;75;72;51;59
S. Payne;26;England;Bristol Rovers;€600K;Right;Delantero;9;62;80;77;77;47;32
S. Arai;29;Japan;Kawasaki Frontale;€375K;Right;Portero;30;16;48;50;62;30;11
L. Tipton;25;Colombia;Atlético Huila;€475K;Left;Lateral;24;60;75;76;67;68;61
C. Doidge;25;Wales;Bolton Wanderers;€675K;Right;Delantero;9;63;61;67;60;57;26
A. Ndom;22;France;Stade de Reims;€725K;Left;Centrocampista;17;70;55;54;57;44;66
N. Medvedev;23;Russia;Lokomotiv Moscow;€625K;Right;Portero;30;14;23;31;22;24;14
K. Murata;29;Japan;Shimizu S-Pulse;€525K;Right;Centrocampista;11;62;81;84;74;63;43
João Moutinho;20;Portugal;Los Angeles FC;€1.1M;Right;Lateral;44;60;65;64;48;58;67
A. Annan;31;Ghana;HJK Helsinki;€375K;Right;Centrocampista;22;61;78;77;77;77;67
S. Wagstaff;28;England;AFC Wimbledon;€550K;Right;Centrocampista;7;62;84;79;77;47;57
A. Fukumori;25;Japan;Hokkaido Consadole Sapporo;€600K;Left;Defensa;5;65;67;65;64;49;62
Ryu Seung Woo;24;Korea Republic;Jeju United FC;€750K;Right;Centrocampista;17;67;78;75;86;49;48
D. Baumann;23;Germany;FC Würzburger Kickers;€725K;Right;Delantero;9;61;67;68;66;61;23
O. Rodríguez;21;Mexico;Club León;€800K;Left;Lateral;24;69;70;69;70;54;60
Pedrinho;33;Portugal;CD Aves;€210K;Right;Lateral;17;65;69;65;74;70;64
J. Ebobisse;21;United States;Portland Timbers;€875K;Left;Delantero;17;60;79;88;74;63;28
J. Toivio;30;Finland;BK Häcken;€400K;Right;Defensa;4;57;53;62;53;64;61
M. Bruccini;32;Italy;Cosenza;€400K;Right;Centrocampista;21;66;70;65;66;66;64
César Ortiz;29;Spain;SV Mattersburg;€425K;Right;Defensa;5;49;39;36;56;70;65
K. Veendorp;21;Netherlands;FC Emmen;€775K;Right;Defensa;13;62;67;71;65;61;58
J. Amoah;23;Ghana;Vitória Guimarães;€775K;Right;Centrocampista;43;70;68;71;74;71;62
P. González;25;Mexico;Puebla FC;€675K;Right;Centrocampista;7;64;67;67;63;69;65
R. Amin;22;Netherlands;Östersunds FK;€750K;Right;Centrocampista;5;69;50;42;73;76;64
H. Otani;33;Japan;Kashiwa Reysol;€220K;Right;Centrocampista;7;63;55;53;52;52;71
S. Kikuchi;26;Japan;Shonan Bellmare;€625K;Right;Centrocampista;2;66;72;76;70;55;62
L. González;27;Venezuela;Deportes Tolima;€575K;Right;Centrocampista;15;66;75;73;76;44;25
M. Burch;34;United States;Minnesota United FC;€150K;Left;Lateral;8;63;57;65;68;66;62
Y. Amankwah;29;Norway;Hobro IK;€425K;Right;Defensa;5;57;52;34;42;70;62
T. Mickel;29;Germany;Hamburger SV;€375K;Right;Portero;12;21;44;49;48;37;22
Kim Dong Woo;30;Korea Republic;FC Seoul;€400K;Right;Defensa;4;52;41;64;64;67;60
S. Calvano;24;Italy;Hellas Verona;€675K;Right;Centrocampista;23;70;69;68;57;58;40
J. Bree;20;England;Aston Villa;€850K;Right;Lateral;16;61;70;69;65;54;60
V. Damascan;19;Moldova;Torino;€1.2M;Right;Delantero;95;63;69;68;59;51;12
B. Körk;38;Turkey;Akhisar Belediyespor;€40K;Right;Portero;35;12;54;59;41;40;26
S. Takahashi;28;Japan;Vissel Kobe;€425K;Right;Lateral;6;63;68;65;76;75;64
A. Vallci;22;Austria;FC Wacker Innsbruck;€575K;Left;Centrocampista;27;55;75;77;60;71;67
L. Giovini;36;Argentina;Unión La Calera;€70K;Right;Portero;1;16;50;48;45;37;24
E. Flores;26;Chile;CD Universidad de Concepción;€450K;Left;Lateral;17;56;72;78;73;58;63
G. Honeyman;23;England;Sunderland;€750K;Right;Centrocampista;10;69;71;74;62;72;46
A. Cairns;25;England;Fleetwood Town;€525K;Left;Portero;1;13;49;48;43;39;15
Kim Nam Chun;29;Korea Republic;FC Seoul;€475K;Right;Defensa;26;36;54;33;63;69;65
L. Solignac;27;Argentina;Chicago Fire;€575K;Right;Centrocampista;9;67;73;75;58;69;59
Kim Yong Hwan;25;Korea Republic;Incheon United FC;€575K;Right;Lateral;3;58;78;91;76;68;58
N. Kuipers;25;Netherlands;ADO Den Haag;€575K;Right;Defensa;20;54;33;31;32;66;60
A. Hopmark;26;Norway;Kristiansund BK;€550K;Right;Defensa;19;56;49;48;49;67;63
Y. Barnawi;24;Saudi Arabia;Al Qadisiyah;€575K;Right;Lateral;2;61;72;73;68;64;66
K. Moleko;28;South Africa;Kaizer Chiefs;€425K;Right;Lateral;18;69;78;77;58;49;60
J. Kauko;27;Finland;Esbjerg fB;€550K;Right;Centrocampista;7;64;44;56;59;74;66
O. Sidibé;33;Guinea;AS Béziers;€220K;Right;Defensa;19;61;68;69;64;68;65
J. Dacres-Cogley;22;England;Birmingham City;€700K;Right;Lateral;25;62;80;79;73;62;61
D. Bates;21;Scotland;Hamburger SV;€775K;Right;Defensa;4;48;52;60;43;66;59
M. Budzi?ski;27;Poland;Cracovia;€450K;Right;Centrocampista;27;67;64;49;61;77;62
N. Lavanchy;24;Switzerland;Grasshopper Club Zürich;€600K;Right;Lateral;14;66;79;79;76;64;52
F. Rodríguez;32;Colombia;Atlético Bucaramanga;€300K;Left;Lateral;16;62;73;75;75;66;62
D. Doekhi;20;Netherlands;Vitesse;€775K;Right;Defensa;30;66;63;71;62;62;62
S. Fujita;31;Japan;Shonan Bellmare;€475K;Right;Centrocampista;14;64;67;81;72;64;50
B. Mason;20;England;Coventry City;€800K;Left;Lateral;3;64;80;83;65;64;59
Jorge Cuenca;18;Spain;FC Barcelona;€850K;Left;Defensa;33;55;57;61;59;67;66
I. Ramírez;23;Paraguay;Godoy Cruz;€625K;Right;Centrocampista;15;66;64;65;56;64;63
R. König;35;Germany;FSV Zwickau;€250K;Left;Delantero;15;63;32;30;38;61;35
S. Clark;32;United States;Portland Timbers;€300K;Right;Portero;12;18;34;34;42;35;15
Adri Castellano;24;Spain;Granada CF;€650K;Left;Lateral;22;62;55;66;56;55;62
M. Guezoui;29;France;Valenciennes FC;€550K;Right;Delantero;27;64;73;82;69;51;15
K. Morris;24;England;Walsall;€700K;Left;Centrocampista;8;66;76;79;75;58;47
S. Lundholm;24;Sweden;IK Sirius;€725K;Left;Centrocampista;15;69;79;74;86;42;43
G. Perea;26;Colombia;Once Caldas;€550K;Right;Defensa;26;65;60;60;57;60;59
K. Ogawa;25;Japan;Shonan Bellmare;€650K;Right;Centrocampista;50;65;72;71;71;53;54
C. Benavídez;20;Uruguay;Independiente;€775K;Right;Centrocampista;21;63;63;63;57;70;62
M. Erb;28;Germany;KFC Uerdingen 05;€500K;Right;Defensa;25;59;64;68;78;66;59
J. Rodríguez;25;Colombia;Once Caldas;€675K;Left;Centrocampista;17;62;76;70;74;51;37
B. Youssouf;24;Comoros;AJ Auxerre;€600K;Right;Lateral;17;58;76;73;61;62;66
Grego Sierra;25;Spain;CD Numancia;€700K;Left;Centrocampista;4;62;55;57;50;53;69
J. Sabbatini;30;Uruguay;FC Lugano;€500K;Right;Centrocampista;14;72;70;60;72;60;58
N. Briasco;22;Armenia;Club Atlético Huracán;€875K;Right;Delantero;20;62;63;70;68;47;20
F. Hansch;22;Germany;SV Sandhausen;€750K;Right;Centrocampista;12;64;89;79;87;35;19
M. Ingram;24;England;Queens Park Rangers;€600K;Left;Portero;1;24;34;39;57;16;11
A. Ibsen Rømer;24;Denmark;Randers FC;€700K;Right;Centrocampista;6;68;70;71;69;77;64
L. Filippini;22;Italy;Lazio;€600K;Left;Lateral;48;61;66;70;56;73;63
D. Dankerlui;21;Netherlands;Willem II;€675K;Right;Lateral;15;63;76;78;72;65;63
Markel Areitio;21;Spain;SD Eibar;€775K;Right;Portero;35;11;44;43;50;18;16
J. Chapman;24;Canada;Toronto FC;€700K;Right;Centrocampista;14;68;67;69;64;69;52
E. Ampadu;17;Wales;Chelsea;€1.1M;Right;Centrocampista;15;58;62;58;56;56;62
H. Kane;19;England;Doncaster Rovers;€825K;Right;Centrocampista;15;66;69;72;66;66;49
L. Fiordilino;21;Italy;Palermo;€875K;Right;Centrocampista;21;70;76;76;70;62;62
B. Verboom;26;Belgium;SV Zulte-Waregem;€525K;Left;Lateral;26;64;75;74;71;67;61
D. Gape;23;England;Wycombe Wanderers;€725K;Right;Centrocampista;4;62;63;65;63;74;65
E. Miller;25;United States;Minnesota United FC;€575K;Right;Lateral;30;60;74;79;66;72;60
Y. Maruhashi;27;Japan;Cerezo Osaka;€450K;Left;Lateral;14;63;75;77;79;46;55
Yang Zhi;35;China PR;Beijing Sinobo Guoan FC;€130K;Right;Portero;22;20;42;65;67;42;16
P. Larsen;29;Norway;SK Brann;€525K;Right;Centrocampista;7;64;65;55;75;73;67
L. Verna;25;Italy;Cosenza;€700K;Right;Centrocampista;30;63;56;63;64;58;64
F. Silva;35;Uruguay;Curicó Unido;€130K;Right;Centrocampista;5;53;40;52;46;76;65
B. Close;21;England;Portsmouth;€925K;Right;Centrocampista;33;66;74;69;70;50;62
Pité;23;Portugal;CD Tondela;€650K;Left;Lateral;10;71;59;58;58;70;60
Q. Amarikwa;30;United States;Montreal Impact;€525K;Right;Delantero;30;64;69;78;82;75;23
Marquitos;31;Spain;Mied? Legnica;€475K;Left;Centrocampista;8;68;71;67;66;59;49
C. Long;23;England;Fleetwood Town;€775K;Right;Delantero;14;65;78;76;70;42;21
K. Bak?rc?o?lu;37;Sweden;Hammarby IF;€170K;Right;Centrocampista;10;68;50;44;57;48;46
F. Mendy;24;France;Red Star FC;€625K;Right;Defensa;19;49;64;73;61;83;56
K. Haraldseid;24;Norway;FK Haugesund;€575K;Right;Lateral;19;69;69;72;74;52;64
J. Blomberg;31;Sweden;Colorado Rapids;€475K;Right;Centrocampista;8;66;68;72;70;75;53
Y. Mena;28;Colombia;Itagüí Leones FC;€550K;Left;Delantero;23;53;90;90;79;43;34
W. Eskelinen;21;Sweden;GIF Sundsvall;€775K;Right;Portero;20;21;28;37;30;20;14
Fan Yunlong;29;China PR;Guizhou Hengfeng FC;€525K;Right;Centrocampista;6;66;70;75;82;72;53
M. Honsak;21;Austria;Holstein Kiel;€800K;Left;Centrocampista;9;67;76;84;69;48;57
D. Bouzanis;27;Australia;PEC Zwolle;€375K;Right;Portero;23;19;58;61;58;45;25
B. Maubleu;28;France;Grenoble Foot 38;€450K;Right;Portero;1;14;47;40;31;23;18
T. Rühle;27;Germany;SC Preußen Münster;€575K;Right;Delantero;11;67;74;75;71;65;30
K. Shelton;25;United States;Sporting Kansas City;€725K;Right;Delantero;14;65;77;84;74;63;28
Diego Parras;22;Spain;UD Las Palmas;€675K;Right;Lateral;2;62;75;72;51;59;60
L. Di Matteo;30;Italy;Lecce;€400K;Left;Lateral;3;58;74;78;66;62;70
J. Dalé;32;France;AS Nancy Lorraine;€425K;Right;Delantero;9;66;57;64;70;44;13
M. Hernandez;26;Guatemala;FC Dallas;€550K;Left;Lateral;5;56;78;77;43;76;61
C. Mancilla;25;Colombia;Envigado FC;€625K;Right;Defensa;4;50;70;67;68;65;75
F. Viáfara;26;Colombia;Rionegro Águilas;€525K;Right;Lateral;2;63;84;85;92;60;65
H. Chapman;20;England;Middlesbrough;€1.2M;Right;Centrocampista;27;63;76;70;77;50;30
M. Antonucci;19;Italy;Pescara;€1.2M;Right;Centrocampista;26;68;68;67;69;36;23
L. Neagle;31;United States;Seattle Sounders FC;€475K;Right;Centrocampista;27;66;77;75;71;70;51
B. Kamau;23;Australia;Western Sydney Wanderers;€725K;Right;Centrocampista;11;63;90;90;87;35;23
L. Putaro;21;Germany;Eintracht Braunschweig;€775K;Left;Centrocampista;11;68;67;67;58;49;35
C. Giousis;19;Greece;AEK Athens;€1.2M;Left;Centrocampista;77;67;67;71;73;50;30
E. Birniçan;29;Turkey;Kasimpa?a SK;€375K;Right;Portero;34;20;52;52;55;42;13
I. Akda?;26;Turkey;BB Erzurumspor;€525K;Right;Centrocampista;19;62;52;60;45;58;59
J. Clark;24;England;Accrington Stanley;€675K;Right;Centrocampista;7;62;81;80;92;57;48
S. Mrowca;24;Poland;SV Wehen Wiesbaden;€575K;Right;Centrocampista;10;63;69;73;75;80;63
U. Nayir;25;Turkey;Bursaspor;€725K;Right;Delantero;19;66;73;76;64;42;19
J. Caenepeel;21;Belgium;Excelsior;€775K;Right;Centrocampista;11;64;85;84;74;68;23
Iván Márquez;24;Spain;Korona Kielce;€625K;Right;Defensa;33;59;50;57;52;74;64
N. Besler;25;United States;Real Salt Lake;€600K;Right;Defensa;13;61;65;65;59;69;61
F. Rogic;25;Sweden;Örebro SK;€675K;Right;Centrocampista;20;65;70;68;74;78;58
P. Hoffmann;26;Germany;SC Preußen Münster;€625K;Right;Centrocampista;20;62;90;90;61;60;40
E. Córdoba;24;Colombia;Atlético Huila;€600K;Right;Lateral;27;61;88;84;70;58;52
Zhao Yuhao;25;China PR;Hebei China Fortune FC;€625K;Right;Centrocampista;3;59;65;61;57;65;65
Álvaro;20;Spain;Extremadura UD;€775K;Left;Portero;36;20;43;49;68;22;14
D. Szoboszlai;17;Hungary;FC Red Bull Salzburg;€1.1M;Right;Centrocampista;14;70;75;79;74;45;25
Q. Maceiras;22;Switzerland;FC Sion;€700K;Right;Lateral;62;64;79;82;69;51;58
T. Augello;23;Italy;Spezia;€625K;Left;Lateral;3;60;74;77;72;59;67
A. Kampetsis;19;Greece;Panathinaikos FC;€900K;Right;Delantero;99;64;68;71;65;57;21
T. Schrammel;30;Austria;SK Sturm Graz;€400K;Left;Centrocampista;4;63;71;75;72;64;62
D. Poleon;24;England;Crawley Town;€725K;Right;Delantero;10;62;85;88;70;65;15
T. Kemp;27;United States;DC United;€450K;Left;Lateral;2;63;53;60;64;62;66
D. Diagné;23;Senegal;KAS Eupen;€625K;Right;Centrocampista;5;63;78;76;76;65;65
J. Thorniley;21;England;Sheffield Wednesday;€850K;Left;Defensa;12;52;65;60;52;68;62
H. Weydandt;22;Germany;Hannover 96;€775K;Right;Delantero;26;55;55;66;47;63;24
F. Sporkslede;24;Netherlands;NAC Breda;€575K;Right;Centrocampista;2;66;63;68;67;71;68
A. Díaz;22;Mexico;Club Atlas;€775K;Right;Delantero;18;63;73;74;75;55;25
I. Zotko;21;Ukraine;Elche CF;€775K;Right;Defensa;15;55;52;65;56;59;62
J. Mendes;27;France;AC Ajaccio;€625K;Right;Delantero;9;58;68;79;66;55;38
C. Trueman;22;England;Birmingham City;€675K;Right;Portero;27;29;47;44;39;29;23
F. Azemi;26;Norway;Sandefjord Fotball;€675K;Right;Delantero;11;63;76;80;70;56;51
Fernando;28;Spain;UD Almería;€475K;Right;Portero;13;23;49;47;44;19;27
A. O'Neill;19;Australia;Central Coast Mariners;€925K;Right;Centrocampista;13;66;78;77;79;56;61
Javi Jiménez;21;Spain;Valencia CF;€700K;Right;Defensa;29;52;53;51;60;69;66
M. Dube;25;South Africa;Orlando Pirates;€550K;Right;Centrocampista;28;65;75;72;51;58;66
J. Mejías;20;Venezuela;Gimnàstic de Tarragona;€925K;Right;Defensa;27;50;65;72;52;56;64
C. Ohene;24;Ghana;Ohod Club;€575K;Right;Centrocampista;6;68;73;72;72;72;61
K. Risgård;35;Denmark;Aalborg BK;€230K;Right;Centrocampista;21;65;52;62;61;67;46
F. Forte;25;Italy;Waasland-Beveren;€700K;Left;Delantero;9;64;56;62;59;27;20
Han Seok Jong;25;Korea Republic;Incheon United FC;€650K;Right;Centrocampista;4;62;51;53;63;68;65
N. Avellaneda;25;Argentina;Defensa y Justicia;€525K;Right;Portero;17;17;48;50;42;25;19
Park Dae Han;27;Korea Republic;Sangju Sangmu FC;€450K;Right;Lateral;40;61;78;75;77;63;58
A. Erceg;28;Croatia;Brøndby IF;€550K;Right;Delantero;50;69;70;73;64;65;19
M. Vázquez;25;Argentina;La Equidad;€700K;Left;Centrocampista;32;63;74;68;79;39;19
A. Wildig;26;England;Morecambe;€625K;Right;Centrocampista;15;63;72;70;80;39;29
O. Abdulaziz;34;Saudi Arabia;Al Faisaly;€160K;Right;Centrocampista;6;59;60;64;71;66;62
F. Kent;22;England;Colchester United;€750K;Right;Defensa;6;60;62;66;57;60;64
M. Pink;27;Austria;SK Sturm Graz;€625K;Right;Delantero;14;62;54;67;56;41;33
